k,mu,rho,c_p,D,U,Re_D,h
0.026,1.85e-05,1.18,1005.0,0.0049999999999999,0.1230287185031694,39.2361859010108,17.39986770819136
0.026,1.85e-05,1.18,1005.0,0.0049999999999999,0.192040440085585,61.24532954080821,21.61000503605876
0.026,1.85e-05,1.18,1005.0,0.0049999999999999,0.2997635924112714,95.6002808230541,26.59333678785379
0.026,1.85e-05,1.18,1005.0,0.0049999999999999,0.4679129629950053,149.2262963065152,32.725839736370496
0.026,1.85e-05,1.18,1005.0,0.0049999999999999,0.7303840308878449,232.93328552639372,40.272516194348526
0.026,1.85e-05,1.18,1005.0,0.006101424679364,0.1008196650523862,39.23618590101078,14.258856433187013
0.026,1.85e-05,1.18,1005.0,0.006101424679364,0.1573734415956121,61.24532954080817,17.708982878332456
0.026,1.85e-05,1.18,1005.0,0.006101424679364,0.2456504899791007,95.60028082305408,21.79272726073006
0.026,1.85e-05,1.18,1005.0,0.006101424679364,0.3834456603041895,149.22629630651514,26.8181953036756
0.026,1.85e-05,1.18,1005.0,0.006101424679364,0.5985356447635214,232.9332855263937,33.002551298023945
0.026,1.85e-05,1.18,1005.0,0.0074454766235905,0.0826197735369689,39.23618590101078,11.68485819501519
0.026,1.85e-05,1.18,1005.0,0.0074454766235905,0.1289645040836716,61.2453295408082,14.512170360987088
0.026,1.85e-05,1.18,1005.0,0.0074454766235905,0.2013058448545041,95.60028082305406,17.85872022188223
0.026,1.85e-05,1.18,1005.0,0.0074454766235905,0.3142263327457444,149.22629630651514,21.976994483254693
0.026,1.85e-05,1.18,1005.0,0.0074454766235905,0.4904884319787309,232.9332855263937,27.044955098473597
0.026,1.85e-05,1.18,1005.0,0.0090856029641606,0.0677053130037002,39.23618590101078,9.5755162188064
0.026,1.85e-05,1.18,1005.0,0.0090856029641606,0.1056839270013848,61.24532954080817,11.892444079552027
0.026,1.85e-05,1.18,1005.0,0.0090856029641606,0.1649662623348864,95.60028082305406,14.634877229807648
0.026,1.85e-05,1.18,1005.0,0.0090856029641606,0.2575024271040383,149.22629630651508,18.009723661413283
0.026,1.85e-05,1.18,1005.0,0.0090856029641606,0.4019458222910114,232.9332855263937,22.162819767278144
0.026,1.85e-05,1.18,1005.0,0.0110870244304866,0.0554831998768172,39.23618590101077,7.846951099136091
0.026,1.85e-05,1.18,1005.0,0.0110870244304866,0.0866059425094797,61.24532954080816,9.745628852695699
0.026,1.85e-05,1.18,1005.0,0.0110870244304866,0.1351866744277181,95.60028082305404,11.992999994988866
0.026,1.85e-05,1.18,1005.0,0.0110870244304866,0.2110182790381325,149.22629630651505,14.758621639897363
0.026,1.85e-05,1.18,1005.0,0.0110870244304866,0.3293868591465641,232.9332855263936,18.162003902331296
0.026,1.85e-05,1.18,1005.0,0.0135293288961766,0.0454674135898701,39.23618590101078,6.4304252789317236
0.026,1.85e-05,1.18,1005.0,0.0135293288961766,0.0709719016956763,61.2453295408082,7.986355125924046
0.026,1.85e-05,1.18,1005.0,0.0135293288961766,0.1107828757478069,95.60028082305406,9.828032488503077
0.026,1.85e-05,1.18,1005.0,0.0135293288961766,0.1729254150689006,149.22629630651514,12.094406155510931
0.026,1.85e-05,1.18,1005.0,0.0135293288961766,0.2699261864696951,232.9332855263937,14.883412364130276
0.026,1.85e-05,1.18,1005.0,0.0165096362444731,0.0372596696503096,39.23618590101079,5.269609654184855
0.026,1.85e-05,1.18,1005.0,0.0165096362444731,0.0581601063893438,61.24532954080822,6.544664193704702
0.026,1.85e-05,1.18,1005.0,0.0165096362444731,0.0907844327919768,95.60028082305408,8.053883318221526
0.026,1.85e-05,1.18,1005.0,0.0165096362444731,0.1417090467852211,149.2262963065152,9.911132883780427
0.026,1.85e-05,1.18,1005.0,0.0165096362444731,0.2211993105336747,232.9332855263938,12.196669750319307
0.026,1.85e-05,1.18,1005.0,0.0201464604058703,0.0305335815881883,39.23618590101079,4.318343609163507
0.026,1.85e-05,1.18,1005.0,0.0201464604058703,0.0476610869147087,61.24532954080817,5.363226244388256
0.026,1.85e-05,1.18,1005.0,0.0201464604058703,0.0743960939967215,95.60028082305408,6.600002246574463
0.026,1.85e-05,1.18,1005.0,0.0201464604058703,0.1161278342618099,149.22629630651514,8.12198249148382
0.026,1.85e-05,1.18,1005.0,0.0201464604058703,0.1812685742739761,232.9332855263937,9.994935929939688
0.026,1.85e-05,1.18,1005.0,0.0245844221444415,0.0250216819781923,39.23618590101079,3.5387994084142402
0.026,1.85e-05,1.18,1005.0,0.0245844221444415,0.039057342685804,61.24532954080817,4.395060601606302
0.026,1.85e-05,1.18,1005.0,0.0245844221444415,0.0609661660237652,95.60028082305404,5.408574712801653
0.026,1.85e-05,1.18,1005.0,0.0245844221444415,0.0951645233404027,149.2262963065151,6.655808207346729
0.026,1.85e-05,1.18,1005.0,0.0245844221444415,0.1485461050490831,232.9332855263937,8.190657473609479
0.026,1.85e-05,1.18,1005.0,0.0299999999999999,0.0205047864171949,39.23618590101079,2.899977951365196
0.026,1.85e-05,1.18,1005.0,0.0299999999999999,0.0320067400142641,61.24532954080817,3.601667506009757
0.026,1.85e-05,1.18,1005.0,0.0299999999999999,0.0499605987352118,95.60028082305402,4.432222797975589
0.026,1.85e-05,1.18,1005.0,0.0299999999999999,0.0779854938325008,149.2262963065151,5.454306622728365
0.026,1.85e-05,1.18,1005.0,0.0299999999999999,0.1217306718146407,232.9332855263937,6.712086032391359
